"wave","m1","m2","m3","m4","m5","m6","s1","s2","s3","s4","s5","s6","t1","t2","t3","t4","t5","t6"
450,2.445,2.025,5.2475,3.51,4.455,3.0875,3.1125,3.1325,2.6375,4.7275,3.5825,3.3825,2.445,1.88,0.8475,1.06,2.215,2.12
455,2.54,2.1,5.45666666666667,3.64666666666667,4.62666666666667,3.17666666666667,3.17333333333333,3.19666666666667,2.73,4.84,3.68666666666667,3.46666666666667,2.66666666666667,2.01666666666667,0.906666666666667,1.11,2.32333333333333,2.19333333333333
460,2.6225,2.1725,5.62,3.7625,4.7525,3.2575,3.2225,3.2425,2.8,4.9425,3.7775,3.54,2.84,2.135,0.945,1.145,2.4,2.2425
465,2.69,2.22666666666667,5.75666666666667,3.85666666666667,4.86,3.33,3.27,3.28333333333333,2.86666666666667,5.02666666666667,3.86333333333333,3.6,2.99333333333333,2.24,0.983333333333333,1.18,2.46666666666667,2.28
470,2.7525,2.275,5.865,3.94,4.9425,3.3875,3.315,3.3175,2.915,5.11,3.9425,3.655,3.125,2.335,1.015,1.205,2.52,2.315
475,2.81,2.32,5.96333333333333,4.02,5.02,3.45,3.35333333333333,3.35,2.96333333333333,5.18333333333333,4.02,3.71,3.25333333333333,2.42666666666667,1.04,1.23,2.57333333333333,2.34
480,2.865,2.365,6.06,4.1,5.09,3.51,3.395,3.3825,3.0125,5.2625,4.1,3.765,3.37,2.5125,1.0675,1.26,2.6275,2.375
485,2.93666666666667,2.43,6.16333333333333,4.18,5.16333333333333,3.57333333333333,3.43666666666667,3.41666666666667,3.07,5.34333333333333,4.17333333333333,3.83,3.51,2.64,1.1,1.29333333333333,2.69666666666667,2.42333333333333
490,3.0225,2.495,6.29,4.2875,5.27,3.65,3.485,3.4625,3.14,5.4375,4.2675,3.9025,3.6875,2.775,1.1425,1.3375,2.785,2.495
495,3.12333333333333,2.58,6.45333333333333,4.41333333333333,5.39333333333333,3.74,3.54,3.51,3.22,5.52333333333333,4.35333333333333,3.98333333333333,3.91,2.89666666666667,1.19333333333333,1.39,2.87666666666667,2.57333333333333
500,3.26,2.675,6.6875,4.605,5.6,3.86,3.61,3.58,3.3175,5.6275,4.46,4.075,4.2275,3.055,1.2725,1.46,3.005,2.685
505,3.4625,2.83,7.0125,4.87,5.8725,4.02,3.6875,3.6675,3.47,5.7725,4.5925,4.21,4.6875,3.345,1.37,1.5675,3.2275,2.86
510,3.70333333333333,3.03,7.40333333333333,5.16333333333333,6.19333333333333,4.19,3.76666666666667,3.78333333333333,3.66333333333333,5.93,4.73,4.37,5.26333333333333,3.67333333333333,1.51,1.69333333333333,3.49333333333333,3.08333333333333
515,4.015,3.2925,7.9275,5.56,6.615,4.415,3.8725,3.93,3.9225,6.13,4.8875,4.575,6.08,4.13,1.7025,1.8825,3.88,3.405
520,4.41666666666667,3.62,8.6,6.06666666666667,7.18333333333333,4.70333333333333,4.01,4.12333333333333,4.23666666666667,6.37,5.1,4.84,7.09333333333333,4.66,1.95,2.13333333333333,4.38,3.84
525,4.84,3.98,9.2925,6.5825,7.75,5,4.15,4.3225,4.565,6.625,5.31,5.11,8.14,5.215,2.2075,2.4,4.9275,4.2975
530,5.23333333333333,4.3,9.91,7.05666666666667,8.26666666666667,5.27,4.28333333333333,4.50333333333333,4.85666666666667,6.84666666666667,5.5,5.35666666666667,9.06666666666667,5.70666666666667,2.45,2.64333333333333,5.41,4.70333333333333
535,5.45,4.53,10.3525,7.395,8.5675,5.475,4.4125,4.61,5.045,7.005,5.6575,5.5375,9.93,6.21,2.65,2.82,5.7575,5.0025
